City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
hamilton,hamilton,43.26,-79.87,21.58,85,90,17.22
kizukuri,kizukuri,40.81,140.39,17.56,100,20,1.39
bondoukou,bondoukou,8.04,-2.8,79.8,33,0,6.76
moose factory,moose factory,51.26,-80.61,14.0,72,75,16.11
maamba,maamba,-17.36,27.22,73.59,82,8,6.08
fairbanks,fairbanks,64.84,-147.72,-13.29,75,1,2.95
port lincoln,port lincoln,-34.72,135.86,65.53,96,0,10.0
vanimo,vanimo,-2.67,141.3,82.14,100,88,16.49
saint-philippe,saint-philippe,45.36,-73.48,11.48,66,90,2.95
thompson,thompson,55.74,-97.86,17.6,78,75,9.17
pasighat,pasighat,28.06,95.33,50.14,48,0,2.62
fortuna,fortuna,38.18,-1.13,48.18,71,0,4.7
saint-augustin,saint-augustin,44.83,-0.61,51.01,100,75,10.29
oudtshoorn,oudtshoorn,-33.59,22.2,57.88,91,0,2.62
borovskoy,borovskoy,53.8,64.15,23.55,90,88,14.25
bulgan,bulgan,48.81,103.53,-12.5,52,0,7.31
susa,susa,5.45,-73.81,60.09,64,68,1.72
griffith,griffith,-34.29,146.06,80.13,45,0,5.82
foz,foz,43.57,-7.26,52.8,100,92,5.08
kerouane,kerouane,12.23,-12.34,74.08,33,8,5.41
cabo san lucas,cabo san lucas,22.89,-109.91,78.08,53,5,8.05
north bend,north bend,43.41,-124.22,55.94,59,1,3.36
husavik,husavik,50.56,-96.99,18.6,97,88,4.63
oriximina,oriximina,-1.77,-55.87,83.22,76,20,2.95
lavrentiya,lavrentiya,65.58,-170.99,-4.22,100,68,30.8
sarai,sarai,25.78,85.28,53.6,81,40,3.06
sovetskiy,sovetskiy,56.76,48.47,12.61,89,80,10.78
cayenne,cayenne,4.94,-52.33,84.2,66,20,10.29
batemans bay,batemans bay,-35.71,150.18,67.51,100,80,2.17
san marcos,san marcos,14.97,-91.79,89.37,38,20,6.93
paamiut,paamiut,61.99,-49.67,31.06,94,24,8.66
lasa,lasa,34.92,32.53,50.95,87,75,5.82
bodden town,bodden town,19.28,-81.25,80.6,94,40,6.93
shar,shar,7.3,8.73,74.08,68,12,1.72
katsuura,katsuura,33.93,134.5,35.6,93,20,10.29
general pico,general pico,-35.66,-63.75,79.12,75,0,8.55
chernyshevskiy,chernyshevskiy,63.01,112.47,-25.24,38,24,4.97
irtyshskiy,irtyshskiy,58.33,68.13,22.06,84,80,11.45
zeerust,zeerust,-25.54,26.07,80.6,26,8,6.93
carnarvon,carnarvon,-30.97,22.13,64.5,38,0,8.77
dowa,dowa,-13.66,33.93,67.24,100,88,3.4
ilebo,ilebo,-4.33,20.59,75.16,89,36,3.74
marystown,marystown,47.17,-55.16,29.17,96,44,20.07
emerald,emerald,-23.53,148.16,71.6,83,0,6.93
porecatu,porecatu,-22.75,-51.38,90.19,62,40,3.36
ayr,ayr,55.46,-4.63,45.41,81,40,21.92
kuytun,kuytun,54.34,101.51,-17.72,50,0,2.51
zagan,zagan,51.62,15.31,44.6,93,75,12.75
lundamo,lundamo,63.15,10.29,30.33,100,90,19.46
komsomolskiy,komsomolskiy,67.55,63.78,3.7,79,88,12.8
myronivka,myronivka,49.66,30.98,28.09,89,80,14.14
la reforma,la reforma,14.8,-91.82,89.33,38,20,6.93
bonthe,bonthe,7.53,-12.5,83.89,67,0,6.42
constitucion,constitucion,23.99,-104.67,69.8,13,5,16.11
soe,soe,57.91,26.05,30.2,92,92,6.93
ericeira,ericeira,38.96,-9.42,46.11,76,0,8.05
gimli,gimli,50.63,-96.99,18.6,97,88,4.63
talnakh,talnakh,69.49,88.39,-9.17,66,64,24.65
nioro,nioro,13.79,-15.05,77.95,32,8,7.65
la rioja,la rioja,-29.41,-66.86,75.12,74,92,4.74
sorsk,sorsk,54.0,90.25,-21.01,56,0,2.73
yar-sale,yar-sale,66.83,70.83,9.19,84,68,14.58
horsham,horsham,-36.71,142.2,65.22,72,0,3.74
klyuchi,klyuchi,52.25,79.17,2.35,68,0,11.23
garden city,garden city,40.73,-73.63,32.02,42,1,14.99
kailua,kailua,21.39,-157.74,76.53,81,90,3.36
povenets,povenets,62.85,34.83,17.34,85,64,6.08
havelock,havelock,34.88,-76.9,48.24,100,90,9.17
ostrovnoy,ostrovnoy,68.05,39.51,18.64,92,76,8.77
geraldton,geraldton,49.72,-86.95,24.8,79,90,12.75
torrington,torrington,42.06,-104.18,38.91,49,1,3.62
codrington,codrington,-28.95,153.24,63.25,93,40,3.51
honningsvag,honningsvag,70.98,25.97,25.61,92,75,4.7
leningradskiy,leningradskiy,69.38,178.42,-17.32,100,24,8.43
garissa,garissa,-0.46,39.64,82.72,46,24,6.42
zhangjiakou,zhangjiakou,40.77,114.88,3.12,66,0,2.73
ontario,ontario,34.07,-117.65,59.45,47,1,5.82
kumo,kumo,10.05,11.21,71.25,29,8,9.66
arraial do cabo,arraial do cabo,-22.97,-42.02,85.19,69,20,23.04
kapit,kapit,2.02,112.94,69.9,98,92,2.28
bloemhof,bloemhof,-27.65,25.61,74.35,46,0,10.67
kuusamo,kuusamo,65.96,29.19,-2.21,84,75,1.12
san patricio,san patricio,-26.98,-56.83,85.51,83,56,2.51
fez,fez,34.03,-5.02,48.51,79,0,9.17
bat khela,bat khela,34.62,71.97,18.73,69,0,1.95
diego de almagro,diego de almagro,-26.39,-70.05,75.34,41,0,4.74
kaeo,kaeo,-35.1,173.78,71.2,69,12,14.36
tres arroyos,tres arroyos,-38.38,-60.28,69.72,92,88,11.68
troitsko-pechorsk,troitsko-pechorsk,62.71,56.19,15.22,79,80,7.65
achit,achit,56.8,57.9,16.57,84,68,11.23
skjervoy,skjervoy,70.03,20.97,21.07,100,40,3.06
campbell river,campbell river,50.02,-125.24,46.81,81,75,4.7
rio gallegos,rio gallegos,-51.62,-69.22,60.8,36,0,24.16
kapuskasing,kapuskasing,49.42,-82.43,14.0,72,75,8.05
hambantota,hambantota,6.12,81.12,78.76,100,80,16.26
camopi,camopi,3.17,-52.33,78.49,84,76,2.39
vernon,vernon,50.27,-119.27,33.8,80,90,2.24
la crosse,la crosse,43.8,-91.24,30.97,60,90,4.7
grand bank,grand bank,47.1,-55.77,26.6,86,75,20.8
dwarka,dwarka,28.58,77.04,55.4,76,0,5.82
saint-francois,saint-francois,46.42,3.91,48.2,87,90,12.75
te anau,te anau,-45.41,167.72,49.92,84,48,3.06
kingman,kingman,35.19,-114.05,53.8,45,1,11.41
chicama,chicama,-7.84,-79.15,75.2,78,0,14.99
surgut,surgut,61.25,73.4,23.0,85,75,13.42
saint-pierre,saint-pierre,48.95,4.24,47.55,87,90,20.8
kununurra,kununurra,-15.77,128.74,77.0,83,20,1.12
nikolskoye,nikolskoye,59.7,30.79,26.6,92,75,6.71
baracoa,baracoa,20.35,-74.5,77.41,100,92,12.35
grootfontein,grootfontein,-19.56,18.1,75.34,25,64,7.87
dunedin,dunedin,-45.87,170.5,53.34,85,0,14.58
kedougou,kedougou,12.56,-12.19,78.13,29,8,8.66
palmer,palmer,-34.85,139.16,64.4,59,0,6.93
pacific grove,pacific grove,36.62,-121.92,55.85,59,1,5.82
temyasovo,temyasovo,52.99,58.1,26.6,92,90,11.18
santa fe,santa fe,-31.62,-60.7,73.14,100,80,4.41
cherkasskoye,cherkasskoye,52.43,47.21,13.87,85,76,4.63
airai,airai,-8.93,125.41,69.54,89,48,1.5
borogontsy,borogontsy,62.67,131.17,-49.85,0,20,2.62
hermiston,hermiston,45.84,-119.29,33.53,92,90,6.93
timizart,timizart,36.8,4.25,28.45,94,0,1.95
iqaluit,iqaluit,63.75,-68.52,-14.81,75,90,14.7
santa cruz del sur,santa cruz del sur,20.71,-78.0,74.98,92,88,6.31
wabag,wabag,-5.48,143.7,48.61,92,0,2.62
san ramon,san ramon,12.92,-85.84,69.8,83,75,9.17
senno,senno,57.76,27.95,30.2,100,92,11.18
saskylakh,saskylakh,71.97,114.09,-57.68,0,0,7.2
ancud,ancud,-41.87,-73.83,64.4,59,0,8.05
port-cartier,port-cartier,50.03,-66.88,14.0,47,20,8.05
casino,casino,-28.86,153.05,66.87,88,80,3.51
arenzano,arenzano,44.4,8.68,50.0,76,75,4.7
dabhol,dabhol,17.6,73.17,70.03,99,0,5.41
alice springs,alice springs,-23.7,133.88,78.8,27,8,4.7
kavieng,kavieng,-2.57,150.8,83.44,100,48,12.24
rozhyshche,rozhyshche,50.92,25.27,33.94,95,88,18.39
kaitangata,kaitangata,-46.28,169.85,55.54,84,56,14.7
tilichiki,tilichiki,60.47,166.1,-28.66,45,0,3.51
stepnyak,stepnyak,52.83,70.79,17.65,85,80,17.49
caravelas,caravelas,-17.73,-39.27,80.2,100,0,13.02
zambezi,zambezi,-13.55,23.12,66.88,97,92,7.87
mayor pablo lagerenza,mayor pablo lagerenza,-19.93,-60.77,93.12,43,76,16.71
varzea grande,varzea grande,-29.42,-50.86,85.86,69,75,6.93
takoradi,takoradi,4.89,-1.75,82.95,100,20,8.66
rauma,rauma,61.13,21.5,30.2,92,88,8.05
campana,campana,8.72,-79.89,88.48,55,40,14.99
santa rosa,santa rosa,-36.62,-64.29,78.0,63,100,3.74
konakovo,konakovo,56.71,36.78,24.27,92,76,12.91
jagraon,jagraon,30.8,75.48,42.45,89,0,8.32
tandur,tandur,19.18,79.43,58.06,84,0,2.62
falmouth,falmouth,50.16,-5.07,50.0,93,75,27.51
maceio,maceio,-9.67,-35.74,84.2,66,40,11.41
nileshwar,nileshwar,12.25,75.1,80.34,100,0,12.01
grants,grants,35.15,-107.85,33.8,83,90,11.41
cam ranh,cam ranh,11.92,109.15,75.2,73,20,4.7
aykhal,aykhal,65.95,111.51,-49.49,0,0,2.73
marawi,marawi,8.0,124.29,68.5,97,64,2.39
nicoya,nicoya,10.15,-85.45,89.6,43,0,21.92
evensk,evensk,61.92,159.24,0.64,100,44,8.21
srednekolymsk,srednekolymsk,67.46,153.71,-24.29,37,56,5.3
kachug,kachug,53.96,105.89,-19.61,53,8,4.63
harstad,harstad,68.8,16.53,17.1,85,0,8.05
datong,datong,40.09,113.3,1.0,54,0,2.73
islamabad,islamabad,33.69,73.06,42.8,87,0,3.36
wajima,wajima,37.4,136.9,31.74,100,0,5.08
palana,palana,59.08,159.95,-1.84,69,48,3.74
robertsport,robertsport,6.75,-11.37,84.57,96,0,11.23
touros,touros,-5.2,-35.46,86.0,66,40,16.11
agadir,agadir,30.42,-9.58,57.2,71,0,8.05
richards bay,richards bay,-28.77,32.06,74.89,81,12,9.78
enid,enid,36.4,-97.88,33.85,82,90,9.17
avera,avera,33.19,-82.53,44.51,82,90,3.36
lodwar,lodwar,3.12,35.6,69.58,46,0,5.64
helena,helena,46.59,-112.04,24.08,77,1,3.36
kahramanmaras,kahramanmaras,37.58,36.93,39.2,80,75,1.12
haridwar,haridwar,29.97,78.17,41.05,91,0,2.73
darab,darab,28.75,54.55,35.11,72,88,1.16
faya,faya,18.39,42.45,58.08,44,0,8.05
prince rupert,prince rupert,54.32,-130.32,48.2,81,90,12.75
rodrigues alves,rodrigues alves,-7.74,-72.65,86.0,70,75,2.51
zalantun,zalantun,48.0,122.72,-8.9,48,32,2.51
suileng,suileng,47.25,127.08,5.5,83,64,3.29
yumen,yumen,40.29,97.04,5.64,70,76,7.31
kishanpur,kishanpur,26.21,86.66,49.6,86,0,6.08
ilulissat,ilulissat,69.22,-51.1,-2.21,64,0,2.24
antalaha,antalaha,-14.9,50.28,75.97,100,92,3.29
bucerias,bucerias,20.76,-105.33,80.6,69,5,9.17
amapa,amapa,15.09,-87.97,78.8,78,75,2.73
innisfail,innisfail,52.02,-113.95,23.0,73,75,3.36
mehamn,mehamn,71.03,27.85,26.38,92,75,4.7
deniliquin,deniliquin,-35.53,144.96,74.94,82,0,4.41
changji,changji,32.07,116.17,30.39,89,64,4.74
adrar,adrar,27.87,-0.29,53.6,30,0,8.05
boyabat,boyabat,41.47,34.77,30.61,97,76,2.28
pavilosta,pavilosta,56.89,21.19,36.39,100,92,10.29
vardo,vardo,39.62,-77.74,29.66,78,90,8.05
lata,lata,30.78,78.62,23.82,98,0,2.62
binga,binga,-17.62,27.34,79.75,81,8,10.0
along,along,28.17,94.8,46.77,51,0,2.39
hami,hami,42.84,93.51,8.11,63,36,7.99
mabaruma,mabaruma,8.2,-59.78,79.66,75,92,7.2
bilibino,bilibino,68.06,166.44,-38.78,0,12,2.39
maumere,maumere,-8.63,122.22,81.24,100,44,3.18
grand gaube,grand gaube,-20.01,57.66,80.6,74,75,11.41
parambu,parambu,-6.21,-40.7,72.55,95,36,3.06
manaus,manaus,-3.13,-59.98,84.2,66,75,2.24
guarapari,guarapari,-20.67,-40.5,86.0,66,20,12.75
pimenteiras,pimenteiras,-6.24,-41.42,76.6,89,20,2.73
nanortalik,nanortalik,60.14,-45.24,26.07,100,64,14.81
luebo,luebo,-5.35,21.42,71.97,97,24,2.39
kenai,kenai,60.55,-151.26,24.48,81,90,10.29
severo-kurilsk,severo-kurilsk,50.68,156.12,26.52,100,88,3.74
nuuk,nuuk,64.17,-51.74,15.8,78,20,9.17
ondjiva,ondjiva,-17.07,15.73,79.93,20,48,12.68
jumla,jumla,29.28,82.18,11.53,89,8,2.62
mecca,mecca,21.43,39.83,68.77,100,88,3.06
lulea,lulea,65.58,22.15,26.6,92,90,9.17
portmore,portmore,17.97,-76.87,82.4,58,75,14.99
maravilha,maravilha,-26.76,-53.17,84.2,58,20,2.06
lagoa,lagoa,37.14,-8.45,51.8,71,0,6.93
padilla,padilla,3.23,-76.31,84.2,48,40,4.7
samoded,samoded,63.61,40.52,21.75,79,44,6.42
savalou,savalou,7.93,1.98,82.27,40,0,6.87
kutum,kutum,14.2,24.66,55.77,36,8,7.54
santo domingo,santo domingo,18.48,-69.94,84.27,69,40,11.41
novikovo,novikovo,45.05,34.56,27.24,100,68,3.62
zholymbet,zholymbet,51.74,71.71,16.62,85,76,14.7
kedgwick,kedgwick,47.65,-67.35,8.2,58,0,5.75
negombo,negombo,7.21,79.83,77.59,99,0,15.26
sur,sur,22.57,59.53,68.77,100,0,7.43
bambous virieux,bambous virieux,-20.34,57.76,80.6,74,75,11.41
gunnedah,gunnedah,-30.98,150.25,68.0,64,12,1.12
thinadhoo,thinadhoo,0.53,72.93,81.91,100,76,9.66
nelson bay,nelson bay,-32.72,152.14,69.8,100,90,5.82
ixtapa,ixtapa,20.71,-105.21,80.6,69,5,9.17
presidencia roque saenz pena,presidencia roque saenz pena,-26.79,-60.44,83.4,96,36,4.18
san carlos,san carlos,9.66,-68.59,88.3,45,92,5.41
oga,oga,8.18,5.65,80.7,52,80,3.18
abu samrah,abu samrah,35.3,37.18,42.09,95,88,4.18
broken hill,broken hill,-31.97,141.45,77.0,42,8,6.93
knysna,knysna,-34.04,23.05,67.15,100,76,8.21
asmara,asmara,15.34,38.93,50.05,73,0,1.83
shubarshi,shubarshi,48.59,57.19,26.47,91,88,3.29
devonport,devonport,-41.18,146.36,57.3,80,8,6.87
morondava,morondava,-20.3,44.28,76.2,100,48,4.29
nagorsk,nagorsk,59.32,50.8,13.74,84,68,14.03
methven,methven,-43.63,171.65,50.59,100,92,15.7
malmyzh,malmyzh,56.52,50.68,11.4,81,80,9.1
san rafael,san rafael,-34.61,-68.33,71.7,39,76,6.98
ola,ola,59.58,151.3,9.64,100,76,7.43
szczecinek,szczecinek,53.71,16.69,40.29,97,92,18.61
plouzane,plouzane,48.38,-4.62,50.0,87,90,10.29
shenjiamen,shenjiamen,29.96,122.3,49.69,96,92,9.66
udgir,udgir,18.39,77.12,68.5,68,68,7.09
kamaishi,kamaishi,39.28,141.86,17.38,100,0,4.18
rincon,rincon,32.3,-81.24,50.77,89,90,10.29
ayan,ayan,40.67,33.6,30.34,97,92,2.62
kajaani,kajaani,64.22,27.73,12.2,92,90,4.7
pangai,pangai,-19.8,-174.35,82.4,74,20,9.17
buchanan,buchanan,5.88,-10.05,82.4,65,0,3.36
